,smiles,score_type,origin,m_score__min__energy,m_primary,rmsd,m_score__min__rmsd,meeko,energy,cluster_rmsd,cluster,Structure
21,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.349289577817235,4.349289577817235,"{""free_energy"": -6.92, ""intermolecular_energy"": -8.11, ""internal_energy"": -2.81, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 4}",-6.87,0.2,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
22,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.340155876612817,4.340155876612817,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.09, ""internal_energy"": -2.84, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 18}",-6.87,0.26,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
23,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.352074406482122,4.352074406482122,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 32}",-6.87,0.16,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
24,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.344755347362531,4.344755347362531,"{""free_energy"": -6.87, ""intermolecular_energy"": -8.07, ""internal_energy"": -2.85, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 22}",-6.87,0.24,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
25,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.35175778753172,4.35175778753172,"{""free_energy"": -6.9, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.83, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 11}",-6.87,0.24,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
26,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.354372357324596,4.354372357324596,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.87, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 33}",-6.87,0.18,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
27,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.34566090352171,4.34566090352171,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.87, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 36}",-6.86,0.3,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
28,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.356834803301435,4.356834803301435,"{""free_energy"": -6.87, ""intermolecular_energy"": -8.06, ""internal_energy"": -2.86, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 23}",-6.86,0.25,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
29,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.348911728134319,4.348911728134319,"{""free_energy"": -6.86, ""intermolecular_energy"": -8.05, ""internal_energy"": -2.88, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 31}",-6.86,0.26,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
30,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2C1c1c[nH]c2ccccc12,oracle,autodockgpu,-6.94,energy,4.349111850648523,4.349111850648523,"{""free_energy"": -6.91, ""intermolecular_energy"": -8.1, ""internal_energy"": -2.83, ""cluster_size"": 50, ""cluster_id"": 1, ""rank_in_cluster"": 10}",-6.86,0.26,1,O=S(=O)(Cc1ccccc1)N1C=Cc2ccccc2[C@@H]1c1c[nH]c2ccccc12
